svijee,taskwarrior-androidapp,0
sparks,rter,0
Docear,Desktop,0
Goddchen,Android-Gradle-Examples,0
bazaarvoice,dropwizard-configurable-assets-bundle,0
ForgeEssentials,ForgeEssentials,1527
chrisballinger,FFmpeg-iOS-Encoder,0
EqualExperts,Tayra,0
oVirt,ovirt-engine,3934
sivaprasadreddy,maven-archetype-templates,0
ukanth,afwall,803
Lunatrius,Schematica,0
nviennot,android-checkin,0
tcooc,AdditionalPipesBC,0
orfjackal,jumi-actors,0
qalingo,qalingo-engine,0
wuman,AndroidImageLoader,26
zalando,PGObserver,0
medcl,elasticsearch-analysis-stconvert,74
AlexGilleran,IceSoap,0
xpoft,vaadin-samples,0
olivergierke,spring-restbucks,112
healthonnet,hon-lucene-synonyms,63
BanManagement,BanManager,119
making,spring-webapp-template,0
klout,brickhouse,62
vivo-project,VIVO,311
rethinkdb,rethinkdb,1722
LMAX-Exchange,freud,0
f2prateek,device-frame-generator,311
hollie,misterhouse,302
daimajia,little-bear-dictionary,2
CyanogenMod,android_packages_apps_CMFileManager,0
hrydgard,ppsspp,10629
Omertron,api-themoviedb,0
fex-team,ueditor,25
dma-ais,AisLib,0
bitletorg,bitlet,14
jkuhlmann,gainput,171
paulhoule,infovore,356
bitsofproof,supernode,582
novoda,dojos,0
shiffman,The-Nature-of-Code-Examples,0
JavaMoney,jsr354-api,157
medcl,elasticsearch-analysis-string2int,11
radsz,jacop,8
saltares,freegemas-gdx,0
kennydude,photosphere,0
mattdesl,lwjgl-basics,0
01org,graphbuilder,0
jpatanooga,Metronome,0
haiwen,seahub,10087
cucumber,cucumber-eclipse,0
terlici,DragNDropList,0
GDG-Korea,PinterestLikeAdapterView,97
vanZeben,2D-Game-Engine,0
dirkmoors,MqttService,0
rubenrua,GstreamerCodeSnippets,0
guardianproject,NetCipher,146
MikeMcl,big.js,0
addthis,metrics-reporter-config,0
ibmcb,cbtool,0
TauLabs,TauLabs,46
OpenNTF,SocialSDK,1647
cobertura,cobertura,79
jattenberg,RankLib,0
MikeMcl,bignumber.js,144
macdonst,VideoPlayer,0
Comcast,jrugged,84
twitter,bookkeeper,0
llbit,chunky,122
opengovplatform,opengovplatform-beta,0
BoD,android-contentprovider-generator,0
pac4j,play-pac4j,582
unidal,frameworks,129
Frege,frege-repl,76
MinimallyCorrect,TickThreading,0
LWJGL,lwjgl,0
neo4j,neo4j,0
jubatus,jubatus-example,0
sephiroth74,HorizontalVariableListView,0
Netflix,blitz4j,4
odnoklassniki,one-nio,0
kijiproject,kiji-schema,0
jayschwa,AndroidSliderPreference,0
ryanhoo,PhotoCropper,4
sonyxperiadev,XAppDbg,0
Sable,heros,0
appcelerator-training,tcd_training,0
phonegap-build,BarcodeScanner,0
phonegap-build,GAPlugin,0
marcoRS,nested-fragments,0
jtmelton,appsensor,140
hibernate,hibernate-shards,0
pardom,ActiveAndroid,261
EverythingMe,OverScrollView,0
thehung111,ContactListView,0
stanfy,enroscar,460
jenkinsci,java-client-api,308
mozilla,arewefastyet,0
zenobase,geocluster-facet,3
doanduyhai,Achilles,988
good-life,PushTalk,0
pyricau,CleanAndroidCode,0
