forge,core,10
timmolter,Sundial,154
SimpleServer,SimpleServer,0
pierre,meteo,10
Flowdalic,asmack,34
rdelbru,SIREn,0
appoxy,simplejpa,0
WeaveTeam,Weave,0
tduehr,buby,0
SINTEF-9012,JArduino,35
java-native-access,jna,1244
vinc3m1,android-segmentedradiobutton,0
devopsfolks,podam,139
mkalam-alami,inventory-tweaks,0
ahmetb,orman,0
SpoutDev,Spout,397
sjrd,ozma,0
pegli,couchbase_ti,0
enebo,Purugin,48
akka,akka-samples,84
talios,coffee-maven-plugin,0
wakaleo,game-of-life,0
okfde,froide,445
dboissier,jenkins-control-plugin,0
bendemboski,DateSlider,0
perwendel,spark,1120
stoicflame,enunciate,0
jkennedy1980,Objective-C-CPD-Language,0
darrinholst,sass-java,0
impetus-opensource,Kundera,15
socialize,socialize-sdk-android,0
nikclayton,android-squeezer,0
pakerfeldt,android-viewflow,0
geosolutions-it,geoserver-manager,68
stevenholder,PHP-Java-AES-Encrypt,0
andrewvc,engulf,30
JodaOrg,joda-money,99
JodaOrg,joda-convert,76
JodaOrg,joda-beans,330
albertz,openlierox,0
mozilla,rhino,161
lintool,twitter-tools,0
ufoai,ufoai,237
evergreen-library-system,Evergreen,0
JodaOrg,joda-time,436
cdi-spec,cdi,368
mconf,android-ffmpeg,0
lbovet,jminix,0
mvel,mvel,0
cometd,cometd,0
resthub,resthub-spring-stack,307
aaberg,sql2o,107
spring-projects,spring-social-github,0
spring-projects,spring-social-facebook,93
versly,wsdoc,0
spring-projects,spring-social-linkedin,0
wxWidgets,wxPython,0
spring-projects,spring-social-twitter,38
uvagfx,hipi,0
joakime,android-apk-parser,0
essentials,Essentials,1620
qmx,jitescript,5
seratch,scalikesolr,0
codeboxed,Titanium-Image-Gallery,0
zkoss,zk,1593
kevinsawicki,gitective,0
NewProggie,SparkleShare-Android,0
jordansissel,experiments,0
jsr107,RI,0
eucalyptus,eucalyptus,0
sudar,Yahoo_LDA,0
freemarker,freemarker-old,0
gousiosg,java-callgraph,0
spring-projects,spring-android,0
spring-projects,spring-mobile,0
spring-projects,spring-mobile-samples,0
spring-projects,spring-android-samples,0
encog,encog-java-workbench,11
boatmeme,microsoft-translator-java-api,0
cfeclipse,cfeclipse,0
mikaelhg,urlbuilder,172
pickerweng,CameraRecorder,0
sattvik,baitha,0
gwt-maven-plugin,gwt-maven-plugin,127
Wizcorp,phonegap-facebook-plugin,0
erwincoumans,experiments,0
gradle,oreilly-gradle-book-examples,0
tdunning,MiA,0
oliverwoodings,HawkEye,0
dooApp,FXForm2,156
gnome-integration-team,firefox-gnome,0
spring-projects,spring-mvc-showcase,0
chrismoos,hash-ring,19
typesafehub,sbteclipse,231
CyanogenDefy,android_device_motorola_jordan,0
jiaqi,jmxterm,0
marubinotto,Piggydb,203
fwbrasil,activate,226
DiUS,java-faker,567
prey,prey-android-client,141
alibaba,asyncload,0
CyanogenMod,android_device_samsung_galaxys2,0
buddycloud,buddycloud-server-java,969
arimus,jmimemagic,0
nutzam,nutzmore,612
iliakan,javascript-book,0
oyse,yedit,0
robotmedia,AndroidBillingLibrary,0
Arelle,Arelle,0
jboss-developer,jboss-eap-quickstarts,0
johanlindquist,jahspotify,0
nutzam,nutz,2058
nutzam,nutzdemo,0
winterstein,JTwitter,0
OneBusAway,onebusaway-android,1991
mjwybrow,adaptagrams,0
richfaces,richfaces-sandbox,0
rjyo,twitter-2-weibo,0
nolanlawson,KeepScore,0
Benoker,DockingFrames,0
rhash,RHash,1
statedecoded,statedecoded,0
pulse00,Twig-Eclipse-Plugin,142
mrash,fwknop,0
griffon,griffon,622
pizzapanther,Neutron-IDE,0
axel22,Ctries,0
resthub,springmvc-router,66
intel-hadoop,HiTune,0
yangboz,LotteryPrediction,0
nevalla,CalendarView,0
spring-projects,spring-integration-dsl-scala,0
steria,extreme_startup_servers,0
chariotsolutions,phonegap-nfc,0
eclipse,vert.x,0
delving,culture-hub,0
kohsuke,args4j,0
threerings,tripleplay,445
adhearsion,ruby_speech,687
okjsp,okjsp-site,0
apache,derby,0
emacsmirror,emacswiki.org,0
vexsoftware,votifier,0
mendhak,gpslogger,1054
emfjson,emfjson-jackson,241
liferay,liferay-ide,0
kukulich,fshl,2
vincenthz,language-java,58
wvengen,proguard-maven-plugin,95
ingenieux,beanstalker,120
stickfigure,motomapia,0
spring-projects,spring-framework-issues,0
google,truth,587
klauswuestefeld,sneer,0
gitblit,gitblit,37
GamingMesh,Jobs,50
encog,encog-java-core,111
encog,encog-java-examples,12
jghoman,haivvreo,0
JSQLParser,JSqlParser,466
serso,android-calculatorpp,0
MilkBowl,Vault,69
ocpsoft,rewrite,352
wgroeneveld,jasmine-junit-runner,0
thomasjungblut,thomasjungblut-common,0
SublimeText,CTags,81
daviddoria,Examples,0
notnoop,java-c2dm,0
sbt,sbt-appengine,48
ened,Android-Tiling-ScrollView,2
mpetazzoni,ttorrent,143
cucumber,cucumber-jvm,1917
java-json-tools,json-schema-validator,34
broadgsa,gatk,0
angryip,ipscan,159
Singular,Sources,0
spring-projects,spring-flex,0
spullara,cli-parser,0
tony19,logback-android,48
msgpack,msgpack-java,675
tonymorris,fp-course,0
FreeRDP,FreeRDP,0
rackerlabs,atom-hopper,0
rackerlabs,repose,0
spring-projects,spring-data-redis,1592
movsim,movsim,118
ghillert,spring-atmosphere-samples,0
ajsutton,disruptorWizard,0
sachin-handiekar,jInstagram,368
SpaceManiac,PermissionsBukkit,0
nurkiewicz,books,2
arduino,BtSerial,0
kohsuke,com4j,0
alibaba,tamper,0
swagger-api,swagger-core,3014
tnm,murmurhash-java,0
SecurityCompass,AndroidLabs,0
neo4j-contrib,authentication-extension,0
swagger-api,swagger-codegen,11214
filmaj,Hydra,0
fasseg,exp4j,0
Rajawali,Rajawali,1082
jagregory,shiro-freemarker-tags,0
liquibase,liquibase,159
liquibase,liquibase-hibernate,0
mttkay,ignition,0
jenkinsci,github-oauth-plugin,0
cgeo,cgeo,0
karussell,snacktory,85
hpcc-systems,HPCC-Platform,0
photo,mobile-android,0
rcongiu,Hive-JSON-Serde,38
bigmlcom,histogram,0
jenkinsci,remoting,0
openlvc,portico,182
don,phonegap-nfc-reader,0
zepheira,backstage,0
Netflix,astyanax,0
eclipse,jetty.project,207
eclipse,cdt,0
Netflix,curator,10
rssowl,RSSOwl,0
asksven,BetterBatteryStats,28
marbl,metAMOS,0
