ondrej-kvasnovsky,grails-vaadin-plugin,0
dlew,android-gridlayout,0
RoboBinding,RoboBinding-gallery,0
twitter,scalding,5106
libguestfs,libguestfs,0
wstrange,GoogleAuth,46
ccoenraets,backbone-jax-cellar,0
spring-projects,spring-security,902
spring-projects,spring-security-kerberos,0
couchbaselabs,TouchDB-Android,0
yomguy,stream-m,0
mrniko,netty-socketio,0
twitter,cassie,0
jexp,batch-import,0
kenglxn,QRGen,210
hgomez,devops-incubator,0
spacecowboy,NotePad,297
WiQuery,wiquery,0
iontorrent,TS,0
sqlcipher,sqlcipher-android-tests,0
jsimone,webapp-runner,180
guardianproject,gnupg-for-android,0
serso,android-common,156
pistruiatul,hartapoliticii,0
couchbase,spymemcached,0
siyamed,android-satellite-menu,0
soabase,exhibitor,82
Rockbox,rockbox,0
jenkinsci,unity3d-plugin,0
cosmin,IClojure,8
hbutani,SQLWindowing,0
mediarain,RoboCoP,0
mumrah,flake-java,0
spring-projects,spring-ide,0
collectd,collectd,0
mbeddr,mbeddr.core,0
square,jetpack,95
casidiablo,persistence,38
expectedbehavior,gauges-android,20
candrews,HttpResponseCache,0
joeferner,node-java,322
gwtbootstrap,gwt-bootstrap,262
brianm,gressil,0
jenkinsci,hipchat-plugin,0
radlab,sparrow,0
GravityLabs,HPaste,0
agoncal,agoncal-application-petstore-ee6,0
WilldooIT,Pentaho-reports-for-OpenERP,0
CUTR-at-USF,OpenTripPlanner-for-Android,325
DozerMapper,dozer,660
boost-experimental,di,3270
mjiderhamn,classloader-leak-prevention,314
aws,aws-sdk-net,1245
mustpax,sortmybox,216
chrisrhoden,PlayerHater,0
ajoberstar,gradle-git,308
pin3da,Programming-contest,0
CloudifySource,cloudify,6065
imagej,imagej,11
arnetheduck,j2c,0
scrutmydocs,scrutmydocs,0
madeye,proxydroid,86
nyaruka,android-sms-relay,0
cybergarage,cybergarage-upnp,0
livereload,livereload-plugins,0
sephiroth74,AndroidWheel,0
pac4j,pac4j,2043
megamattron,SplinterNet,4
lukas-krecan,JsonUnit,242
gemrb,gemrb,500
EasyRPG,Player,512
natural,java2python,0
jeromeetienne,tquery,0
MinecraftForge,MinecraftForge,1692
louismullie,stanford-core-nlp,144
richardwilly98,elasticsearch-river-mongodb,0
jfarcand,WCS,0
lintool,Mr.LDA,0
tdunning,storm-counts,0
yesnault,PlayStartApp,0
enigma-dev,enigma-dev,199
ehsan,ogre,0
SITZ,JobPuzzles,0
Animatron,player,1945
skyscreamer,JSONassert,0
orbitaloop,WebSqlSync,0
zcourts,higgs,0
timmolter,XChange,2897
isis-project,WebKit,0
MiCode,legacy-patchrom,0
uudashr,jsmpp,0
Todd-Davies,ProgressWheel,0
vorburger,MariaDB4j,300
rtyley,android-screenshot-lib,0
rtyley,animated-gif-lib-for-java,6
ATLANTBH,jmeter-components,0
getsentry,sentry-java,2116
pgjdbc,pgjdbc,2513
antlr,antlr3,0
tgwizard,sls,0
BottegaIT,ddd-cqrs-sample,0
splunk,splunk-library-javalogging,0
codeborne,selenide,1478
hmsonline,cassandra-triggers,0
cloudfoundry,uaa,7205
Mobiperf,MobiPerf,0
