ReactiveMongo,ReactiveMongo,1883
lukeweber,webrtc-jingle-client,0
gwt-test-utils,gwt-test-utils,34
jitsi,otr4j,0
kevinsawicki,wishlist,17
jcgay,maven-notifier,107
square,okhttp,8112
ignatov,intellij-erlang,1
altamiracorp,honeycomb,0
airlift,aircompressor,198
airlift,airline,58
alibaba,tfs,0
JFrogDev,artifactory-client-java,0
arago,rike,0
scala-ide,scala-ide-play2,0
lastfm,musicbrainz-data,0
jenkinsci,job-dsl-plugin,0
MPjct,JMPjct,0
openmrs,openmrs-core,5749
Catrobat,Paintroid,0
la-team,light-admin,305
apigrove,apigrove,0
1000Memories,photon-core,14
halide,Halide,10239
originell,jpype,499
AntennaPod,AntennaPod,5
pents90,svg-android,0
tumblr,collins,892
zeromq,jeromq,467
funny-falcon,murmurhash3-ruby,0
twitter,algebird,1988
square,dagger,1069
walmartlabs,mupd8,0
AnimeNeko,Atarashii,0
keyboardsurfer,Crouton,7
Bukkit,mc-dev,0
kelemen,netbeans-gradle-project,258
fordfrog,apgdiff,0
fabiomaffioletti,jsondoc,287
bignerdranch,AndroidCourseResources,0
dm77,ZBarScanner,0
wso2,jaggery,0
qiniu,android-sdk,518
allwefantasy,ServiceFramework,0
evandrix,codejam,0
Vitallium,phantomjs,103
johnkil,Android-AppMsg,0
dan200,ComputerCraft,758
dCache,nfs4j,0
frankmorgner,vsmartcard,433
thymeleaf,thymeleaf-extras-springsecurity,0
julianhyde,optiq,798
dbartolini,crown,936
fabriciocolombo,delphi-rest-client-api,0
adyliu,idcenter,0
DarthMike,indielib-crossplatform,0
shiffman,natureofcode.com,0
twitter,hdfs-du,7
ArcBees,gwtchosen,0
path,greenDAO,0
urbanairship,phonegap-ua-push,0
DayS,uitableview4android,0
joshuaeckroth,cse3521-website,0
prestodb,presto,26592
stackmob,stackmob-ios-sdk,0
MartinThoma,LaTeX-examples,0
b3log,latke,481
TheLevelUp,android-left-locked-gallery,0
openintents,sensorsimulator,0
tucker777,QSTK,0
highfidelity,hifi,0
libgdx,libgdx,0
NanoHttpd,nanohttpd,364
douzifly,android-lrc-view,0
open-watcom,open-watcom-v2,2128
roboguice,roboguice,457
Steveice10,MCProtocolLib,0
sstone,akka-amqp-proxies,20
gibiansky,experiments,0
Alfresco,alfresco-android-app,0
profjsb,python-bootcamp,0
j-easy,easy-batch,339
kivy,pyjnius,208
flapdoodle-oss,de.flapdoodle.embed.process,138
robotoworks,mechanoid,56
nutiteq,hellomap3d,2
plum-umd,redexer,101
CyanogenMod,android_packages_apps_CMUpdater,0
james75,SolrMongoImporter,0
FasterXML,jackson-module-jsonSchema,317
apigee,api-platform-samples,0
aidancbrady,Mekanism,387
ligi,FAST,64
raptorjs-legacy,raptorjs,0
CodaFi,etPanKit,0
kikoso,AppRate-for-Android,0
quantcast,qfs,1346
pearson-enabling-technologies,elasticsearch-approx-plugin,0
RestComm,sip-servlets,0
jankotek,mapdb,1326
JetBrains,intellij-plugins,0
billhsu,MiniQ,0
RestComm,jss7,0
RestComm,Restcomm-Connect,183
RestComm,mediaserver,0
square,cascading-helpers,0
EddieRingle,android-undergarment,0
hertzsprung,hamcrest-json,0
Matsemann,libgdx-loading-screen,0
NoCheatPlus,NoCheatPlus,0
chazmcgarvey,vimcoder,7
sky87,f5less,0
TimotheeJeannin,AppRate,0
abc9070410,JComicDownloader,0
FlansMods,FlansMod,0
Esri,geoportal-server,0
mingchen,protobuf-ios,29
JFXtras,jfxtras-styles,0
naver,yobi,1571
meefik,linuxdeploy,0
rolandkrueger,vaadin-by-example,0
soulgalore,crawler,173
bitstadium,HockeySDK-Android,602
ryankennedy,swagger-jaxrs-doclet,99
rjohnsondev,java-libpst,0
Vilbrekin,tinc_gui,15
xamox,pygame,0
yegor256,s3auth,649
barbeau,gpstest,188
hmsonline,storm-elastic-search,0
cirosantilli,cpp-cheat,184
keesun,mod-socket-io,0
grayghostvisuals,practice-git,0
alibaba,mpich2-yarn,0
MoriTanosuke,glacieruploader,107
