MikeOrtiz,TouchImageView,0
RoboBinding,RoboBinding,0
JFrogDev,project-examples,0
vkolodrevskiy,spring-social-vkontakte,0
groovy,groovy-core,0
autotest,autotest,444
tscolari,android-webview-sample-app,0
johncarl81,transfuse,707
carrot2,carrot2,0
sanity,quickml,1228
iFixit,iFixitAndroid,0
ivmartel,dwv,1230
crossbario,autobahn-java,328
opensagres,xdocreport,165
cloudfoundry,cf-java-client,571
GPars,GPars,120
miniupnp,miniupnp,345
brianm,really-executable-jars-maven-plugin,18
xjodoin,torpedoquery,159
puma,puma,2535
harvardinformatics,JAuth,0
usc-isi-i2,Web-Karma,0
apache,ambari,0
VoltDB,voltdb,0
palantir,Sysmon,0
kre,Kinetic-Rules-Engine,0
pbiggar,phc,0
jghoman,finagle-java-example,0
patrickkulling,Air-Mobile-Extensions,0
learnopengles,Learn-OpenGLES-Tutorials,0
MagnusS,Java-BloomFilter,0
tinkerpop,furnace,0
juzu,juzu,0
XervoIO,pulse,0
sgsinclair,Voyant,0
neo4j-contrib,java-rest-binding,0
dynjs,dynjs,451
mkarneim,pojobuilder,122
spring-projects,spring-data-neo4j,0
jCatalog,weceem-plugin,0
jCatalog,weceem-app,0
yandexmobile,yandexmapkit-android,0
eriwen,gradle-css-plugin,50
redline-smalltalk,redline-smalltalk,248
msgpack,msgpack-ruby,256
valotrading,zeromq-scala-binding,0
SonarSource,sonar-examples,0
pegli,ti_keychain,0
rapportive-oss,storm-json,0
KirinJS,Kirin,0
neo4j-contrib,sparql-plugin,0
rapportive-oss,storm-amqp-spout,0
pdinklag,JSFML,0
JetBrains,intellij-community,0
demoiselle,framework,315
apache,tomcat,0
ivalkeen,guard-ctags-bundler,58
eugenp,REST-With-Spring,0
RIPE-NCC,hadoop-pcap,0
lexicalscope,jewelcli,0
tusharvjoshi,netbeans-php-drupal,0
cms-dev,cms,479
linkedin,cleo,0
ceylon,ceylon.language,0
PixelsCommander,FlashJS,0
scala-ide,scala-ide,0
openmicroscopy,bioformats,8115
neo4j-contrib,cypher-dsl,14
palantir,Cinch,0
perf4j,perf4j,0
Aconex,scrutineer,7
sleuthkit,autopsy,0
eriwen,gradle-js-plugin,127
OSBI,saiku,0
apache,accumulo,1681
watashi,AlgoLib,12
watashi,AlgoSolution,0
peak6,scala-ssh-shell,0
Normation,rudder,0
sameeragarwal,blinkdb,0
heroku,devcenter-spring-mvc-hibernate,0
julienchastang,charts4j,0
heroku,devcenter-java,0
usnationalarchives,File-Analyzer,0
geany,geany,1365
cloudera,crunch,0
michaelklishin,welle,257
krimple,spring-roo-in-action-examples,0
syllant,idea-plugin-revu,0
unbit,uwsgi,250
fluent,fluent-logger-java,120
geogebra,geogebra,0
touchlab,Android-Database-Locking-Collisions-Example,0
tomakehurst,wiremock,743
spring-projects,spring-insight-plugins,0
rakeshcusat,Code4Reference,0
Expensify,WindowsPhoneTestFramework,0
rstoyanchev,spring-mvc-31-demo,0
baugarten,Android-Image-Edit,0
sleuthkit,sleuthkit,445
zxing,zxing,758
openstreetmap,osmosis,22
spring-projects,spring-data-mongodb,921
gameplay3d,GamePlay,0
mavlink,qgroundcontrol,5936
icode,DocViewer,0
idflood,ThreeNodes.js,0
dkandalov,live-plugin,14
bio2rdf,bio2rdf-scripts,0
JFrogDev,artifactory-user-plugins,0
maven-gae-plugin,maven-gae-plugin,0
rmtheis,tess-two,14
apache,commons-fileupload,55
apache,httpasyncclient,21
apache,commons-compress,400
gturri,aXMLRPC,23
lilac,Android-ImageMagick,0
willuhn,hibiscus,0
willuhn,hbci4java,113
NetLogo,NetLogo,2913
immutant,immutant,382
gary-rowe,multibit-merchant,9
mozilla-services,android-sync,0
Netflix,CassJMeter,0
Jasig,uPortal,3166
nengo,nengo_1.4,32
webx,citrus,0
eclipsesource,restfuse,0
webx,citrus-sample,0
